      #Energy        TDOS
     -15.14062       0.00000
     -15.10462       0.00000
     -15.06762       0.00000
     -15.03162       0.00000
     -14.99562       0.00000
     -14.95862       0.00000
     -14.92262       0.00000
     -14.88562       0.00000
     -14.84962       0.00000
     -14.81262       0.00000
     -14.77662       0.00000
     -14.74062       0.00000
     -14.70362       0.00000
     -14.66762       0.00000
     -14.63062       0.00000
     -14.59462       0.00000
     -14.55862       0.00000
     -14.52162       0.00000
     -14.48562       0.00000
     -14.44862       0.00000
     -14.41262       0.00000
     -14.37662       0.00000
     -14.33962       0.00000
     -14.30362       0.00000
     -14.26662       0.00000
     -14.23062       0.00000
     -14.19462       0.00000
     -14.15762       0.00000
     -14.12162       0.00000
     -14.08462       0.00000
     -14.04862       0.00000
     -14.01162       0.00000
     -13.97562       0.00000
     -13.93962       0.00000
     -13.90262       0.00000
     -13.86662       0.00000
     -13.82962       0.00000
     -13.79362       0.00000
     -13.75762       0.00000
     -13.72062       0.00000
     -13.68462       0.00000
     -13.64762       0.00000
     -13.61162       0.00001
     -13.57562       0.00023
     -13.53862       0.00306
     -13.50262       0.01827
     -13.46562       0.05687
     -13.42962       0.11016
     -13.39362       0.15780
     -13.35662       0.19377
     -13.32062       0.22261
     -13.28362       0.24766
     -13.24762       0.27026
     -13.21062       0.29112
     -13.17462       0.31064
     -13.13862       0.32906
     -13.10162       0.34669
     -13.06562       0.36350
     -13.02862       0.37976
     -12.99262       0.39558
     -12.95662       0.41078
     -12.91962       0.42586
     -12.88362       0.44055
     -12.84662       0.45487
     -12.81062       0.46935
     -12.77462       0.48345
     -12.73762       0.49757
     -12.70162       0.51297
     -12.66462       0.53580
     -12.62862       0.58386
     -12.59262       0.66349
     -12.55562       0.75365
     -12.51962       0.84477
     -12.48262       0.95015
     -12.44662       1.06624
     -12.41062       1.17403
     -12.37362       1.27237
     -12.33762       1.37468
     -12.30062       1.47890
     -12.26462       1.56726
     -12.22762       1.63604
     -12.19162       1.69469
     -12.15562       1.74978
     -12.11862       1.80668
     -12.08262       1.87215
     -12.04562       1.95152
     -12.00962       2.03584
     -11.97362       2.10777
     -11.93662       2.16515
     -11.90062       2.21721
     -11.86362       2.26878
     -11.82762       2.32196
     -11.79162       2.38453
     -11.75462       2.46617
     -11.71862       2.56974
     -11.68162       2.68559
     -11.64562       2.78307
     -11.60962       2.83855
     -11.57262       2.86552
     -11.53662       2.88562
     -11.49962       2.90480
     -11.46362       2.92245
     -11.42662       2.94008
     -11.39062       2.95876
     -11.35462       2.97681
     -11.31762       2.99408
     -11.28162       3.01258
     -11.24462       3.03193
     -11.20862       3.05051
     -11.17262       3.06967
     -11.13562       3.09137
     -11.09962       3.11623
     -11.06262       3.15070
     -11.02662       3.20525
     -10.99062       3.27217
     -10.95362       3.33001
     -10.91762       3.37337
     -10.88062       3.41047
     -10.84462       3.44569
     -10.80862       3.48123
     -10.77162       3.52341
     -10.73562       3.57574
     -10.69862       3.63407
     -10.66262       3.69225
     -10.62562       3.74541
     -10.58962       3.79320
     -10.55362       3.83814
     -10.51662       3.88194
     -10.48062       3.92756
     -10.44362       3.97770
     -10.40762       4.03336
     -10.37162       4.10218
     -10.33462       4.20523
     -10.29862       4.34855
     -10.26162       4.49190
     -10.22562       4.59710
     -10.18962       4.67975
     -10.15262       4.78029
     -10.11662       4.91496
     -10.07962       5.06089
     -10.04362       5.19664
     -10.00762       5.31692
      -9.97062       5.40197
      -9.93462       5.44282
      -9.89762       5.46116
      -9.86162       5.47519
      -9.82462       5.48647
      -9.78862       5.49591
      -9.75262       5.50699
      -9.71562       5.51785
      -9.67962       5.52681
      -9.64262       5.53606
      -9.60662       5.54613
      -9.57062       5.55562
      -9.53362       5.56429
