      #Energy        TDOS
     -15.14062       0.00000
     -15.10462       0.00000
     -15.06762       0.00000
     -15.03162       0.00000
     -14.99562       0.00000
     -14.95862       0.00000
     -14.92262       0.00000
     -14.88562       0.00000
     -14.84962       0.00000
     -14.81262       0.00000
     -14.77662       0.00000
     -14.74062       0.00000
     -14.70362       0.00000
     -14.66762       0.00000
     -14.63062       0.00000
     -14.59462       0.00000
     -14.55862       0.00000
     -14.52162       0.00000
     -14.48562       0.00000
     -14.44862       0.00000
     -14.41262       0.00000
     -14.37662       0.00000
     -14.33962       0.00000
     -14.30362       0.00000
     -14.26662       0.00000
     -14.23062       0.00000
     -14.19462       0.00000
     -14.15762       0.00000
     -14.12162       0.00000
     -14.08462       0.00000
     -14.04862       0.00000
     -14.01162       0.00000
     -13.97562       0.00000
     -13.93962       0.00000
     -13.90262       0.00000
     -13.86662       0.00000
     -13.82962       0.00000
     -13.79362       0.00000
     -13.75762       0.00000
     -13.72062       0.00000
     -13.68462       0.00000
     -13.64762       0.00000
     -13.61162       0.00037
     -13.57562       0.01188
     -13.53862       0.14370
     -13.50262       0.69160
     -13.46562       1.42900
     -13.42962       1.49800
     -13.39362       1.11900
     -13.35662       0.85730
     -13.32062       0.72680
     -13.28362       0.64900
     -13.24762       0.59260
     -13.21062       0.55330
     -13.17462       0.51910
     -13.13862       0.49270
     -13.10162       0.47550
     -13.06562       0.44810
     -13.02862       0.44510
     -12.99262       0.42360
     -12.95662       0.41170
     -12.91962       0.41640
     -12.88362       0.39080
     -12.84662       0.39590
     -12.81062       0.39960
     -12.77462       0.37490
     -12.73762       0.40040
     -12.70162       0.44580
     -12.66462       0.80820
     -12.62862       1.83200
     -12.59262       2.54200
     -12.55562       2.41100
     -12.51962       2.59400
     -12.48262       3.19500
     -12.44662       3.18200
     -12.41062       2.73900
     -12.37362       2.66300
     -12.33762       2.95700
     -12.30062       2.76800
     -12.26462       2.08600
     -12.22762       1.69200
     -12.19162       1.53000
     -12.15562       1.49600
     -12.11862       1.63000
     -12.08262       1.96600
     -12.04562       2.39400
     -12.00962       2.23800
     -11.97362       1.71300
     -11.93662       1.43900
     -11.90062       1.42100
     -11.86362       1.41200
     -11.82762       1.50900
     -11.79162       1.92800
     -11.75462       2.55700
     -11.71862       3.13200
     -11.68162       3.23200
     -11.64562       2.12300
     -11.60962       0.92460
     -11.57262       0.55690
     -11.53662       0.54720
     -11.49962       0.50610
     -11.46362       0.46390
     -11.42662       0.50450
     -11.39062       0.52120
     -11.35462       0.47060
     -11.31762       0.47810
     -11.28162       0.53790
     -11.24462       0.52510
     -11.20862       0.49570
     -11.17262       0.55660
     -11.13562       0.63580
     -11.09962       0.72940
     -11.06262       1.16400
     -11.02662       1.83300
     -10.99062       1.84300
     -10.95362       1.33400
     -10.91762       1.04800
     -10.88062       0.99020
     -10.84462       0.94420
     -10.80862       1.00800
     -10.77162       1.30900
     -10.73562       1.56600
     -10.69862       1.63800
     -10.66262       1.55800
     -10.62562       1.36200
     -10.58962       1.26300
     -10.55362       1.20600
     -10.51662       1.20000
     -10.48062       1.30600
     -10.44362       1.44800
     -10.40762       1.61000
     -10.37162       2.17000
     -10.33462       3.49100
     -10.29862       4.38200
     -10.26162       3.49200
     -10.22562       2.28700
     -10.18962       2.25300
     -10.15262       3.27000
     -10.11662       4.12800
     -10.07962       3.88800
     -10.04362       3.56900
     -10.00762       3.03800
      -9.97062       1.63400
      -9.93462       0.61020
      -9.89762       0.39740
      -9.86162       0.37330
      -9.82462       0.24630
      -9.78862       0.27210
      -9.75262       0.33630
      -9.71562       0.26040
      -9.67962       0.23190
      -9.64262       0.27620
      -9.60662       0.27670
      -9.57062       0.24470
      -9.53362       0.23160
