doping,sigma_xx,sigma_yy,sigma_zz,S_xx,S_yy,S_zz,kappa_e_xx,kappa_e_yy,kappa_e_zz,mu_overall_xx,mu_overall_yy,mu_overall_zz,mu_IMP_xx,mu_IMP_yy,mu_IMP_zz,mu_ADP_xx,mu_ADP_yy,mu_ADP_zz,mu_POP_xx,mu_POP_yy,mu_POP_zz
9999999999999998.0,3341.9142073375606,3246.8960810844833,5405.700100951364,58.398858541838294,56.66255985907973,82.5931134528249,0.45094840883562787,0.4314782558430308,0.7191662326220591,844.3585873134195,819.1070271430087,1406.677156893045,1005463.4404195825,1098409.772077084,1544359.4943433292,5547.204488493024,4842.721658080379,11078.088641000599,1049.1451216169003,1073.1621609063834,1711.4986696511808
1.1006941712522126e+16,3341.6628897640885,3246.6071859950866,5406.438720296766,60.30612184287531,58.55443383436034,84.48129836323076,0.4507064803279753,0.43124495690979475,0.718734436636336,844.0662709255432,818.8187491137679,1406.3170283583743,913513.9289748612,997848.1773427387,1403196.1205660403,5547.15955190277,4842.682367067428,11078.025931752618,1049.1402214265506,1073.1572225293294,1711.4932439998506
1.211527658628585e+16,3341.449731301358,3246.3510911055882,5407.352461274377,62.40365628359466,60.63507539728475,86.55705881043048,0.4504332574903857,0.43098151993143086,0.718248086953567,843.7453742599739,818.5023106264263,1405.9214639418053,829979.4487192336,906478.9403947801,1274958.5061321103,5547.109897525016,4842.638950890119,11077.956638481917,1049.1348070193505,1073.1517659271594,1711.4872490305218
1.3335214321633238e+16,3341.2918811849304,3246.144072539664,5408.48011849973,64.71011983552361,62.92300148962195,88.83862172249103,0.45012415478471346,0.4306835350743544,0.7176994094248249,843.3932006764477,818.1550597119143,1405.4870728297874,754089.518089227,823459.4017415945,1158463.8121444653,5547.0550084408915,4842.590957542716,11077.8800393854,1049.1288220619363,1073.1457343255893,1711.4806223270757
1.4677992676220734e+16,3341.2109915649517,3246.006752515188,5409.868775175337,67.24582770099155,65.43837506940007,91.34579657512651,0.44977384418496047,0.43034587930786383,0.717079405881509,843.0068319354699,817.7741275183291,1405.0101752758942,685146.1016266588,748026.0617181591,1052640.4711866595,5546.994309065107,4842.537883715006,11077.795331026378,1049.1222038794822,1073.1390645606207,1711.4732944987695
1.6155980984398694e+16,3341.2342322584645,3245.965080737736,5411.575613444368,70.03300303600959,68.20325423706008,94.1002110965449,0.44937610674413925,0.42996257384224246,0.7163776123700746,842.5830943471148,817.3563952515826,1404.4867575160179,622513.0693959811,679483.0593826894,956512.0027811547,5546.927153568379,4842.479164668155,11077.70161177676,1049.114882145993,1073.131685756729,1711.4651876659902
1.7782794100389226e+16,3341.395533125255,3246.0515435040516,5413.6699325467835,73.09574431086794,71.24156034023191,97.12526438103052,0.4489236998958408,0.429526656824763,0.7155818898753471,842.1185684212364,816.8985040543878,1403.9124798447272,565614.4320959424,617200.2543550748,869194.298752152,5546.852821213696,4842.41417015342,11077.597875731106,1049.1067784396191,1073.1235188807334,1711.456215039982
1.9573417814876656e+16,3341.737090831533,3246.3066213052366,5416.235822580167,76.46035117950733,74.57940179355136,100.44643149872964,0.44840814607206586,0.4290299803049321,0.7146780816410477,841.6095434653911,816.3968106764245,1403.2826158167943,513924.5768231975,560602.5573963687,789880.6301620987,5546.77049915097,4842.342189367417,11077.482987701613,1049.0978042439021,1073.1144747227622,1711.446278549042
2.1544346900318772e+16,3342.3111532194876,3246.780528733926,5419.374970142374,80.15509019686178,78.24484229072587,104.09101170362807,0.4478195725531108,0.42846305666445367,0.7136497668116901,841.0520571888183,815.847426986853,1402.5920960153157,466969.11204294214,509170.8774868407,717842.9340816634,5546.679281156042,4842.262429842077,11077.355683028023,1049.0878610311358,1073.104453987737,1711.4352691933502
2.3713737056616548e+16,3343.1822269679465,3247.5353504026625,5423.210560530868,84.21060699637931,82.26831040564993,108.08851130680137,0.44714641669557303,0.4278147754502635,0.7124777851303171,840.4418352683014,815.2461609640261,1401.8354267796562,424314.860955559,462431.19327048265,652416.446587746,5546.578142427417,4842.173995406938,11077.214530505806,1049.0768372767734,1073.093344277517,1711.4230634311973
2.610157215682544e+16,3344.429678171103,3248.6475710968366,5427.891502673193,88.65975941768927,86.68243482689871,112.47045083658536,0.446375176343416,0.42707216384657,0.7111398496385058,839.7743172947398,814.5885428812435,1401.0067150828354,385569.0821648996,419953.73287129105,592998.4924304816,5546.465930566609,4842.075878293731,11077.057920950743,1049.064607648433,1073.0810192790864,1711.4095224770617
2.8729848333536564e+16,3346.150877577352,3250.2111292885675,5433.5977026634755,93.5376548026505,91.52208219513619,117.27036937521257,0.44549008103126236,0.42622007094045977,0.7096100306378427,839.0446482526845,813.8698175925507,1400.0996495238783,350374.9636985661,381348.0809120003,539041.5531104036,5546.341346315768,4841.966942285344,11076.884040577217,1049.0510309645906,1073.067336708618,1711.3944900921467
3.1622776601683788e+16,3348.4649447534366,3252.3410543613163,5440.546274229684,98.88153292428309,96.82424183184061,122.52367201630653,0.44447273429002054,0.42524082423312143,0.70785820062842,838.2476878267742,813.0849544565156,1399.1075019746659,318408.5105098676,346259.82061518217,490048.4689007615,5546.2029204979135,4841.845902546276,11076.690837328793,1049.0359475129424,1073.0521356019183,1711.3777893799509
3.48070058842842e+16,3351.5172215952184,3255.177811469092,5448.998971437548,104.73058642222759,102.62784846299529,128.26741102306693,0.44330170756923887,0.4241138396022228,0.7058494078812879,837.3780226635697,812.2286602163009,1398.0231318817312,289375.41704910167,314367.16945061355,445567.6133994773,5546.048991463661,4841.7113058865925,11076.475990819576,1049.0191768191592,1073.035234072583,1711.3592205618293
3.831186849557276e+16,3355.484471522197,3258.892355036789,5459.270712261684,111.1254691581114,108.97329522366687,134.53975597256704,0.44195213323136756,0.4228152303353785,0.703543261507783,836.4300142842222,811.2954270305935,1396.8390333957852,263008.9965965468,285378.7863797872,405189.6818293763,5545.8776789300255,4841.561507873926,11076.236874549291,1049.0005146741332,1073.0164263101062,1711.3385574913714
4.2169650342858216e+16,3360.5812722968626,3263.692331989351,5471.740320035093,118.10805673174552,115.90219671288625,141.37970755525552,0.44039518113141657,0.4213173040268589,0.7008931315642083,835.3977964214172,810.2795307175189,1395.5473183126564,239066.40596750588,259029.7159949603,368541.8628150343,5545.686845789372,4841.394639416828,11075.970503585932,1048.9797291651666,1072.995478584899,1711.3155434425978
4.64158883361279e+16,3367.0671753444417,3269.82904111907,5486.862202957182,125.72041806356367,123.45636893538637,148.82603494402326,0.438597637862774,0.41958815805542715,0.6978455401334824,834.2753705049203,809.1751256118825,1394.1398201106144,217327.6604529006,235080.4073589563,335286.2787866042,5545.474066185884,4841.20857882784,11075.673488838074,1048.9565571194323,1072.9721256585917,1711.2898870044476
5.1089697745069144e+16,3375.2552542621775,3277.60573302991,5505.180536816008,134.00385260666388,131.6768738635166,156.91627874902855,0.43652143091573375,0.4175912216742601,0.6943394725793909,833.0566677408985,807.9763064365172,1392.6081557960456,197593.12105336424,213314.0588314625,305116.0812938212,5545.236582214273,4841.00091392547,11075.341977565007,1048.9306996126386,1072.9460662623324,1711.261257296729
5.62341325190349e+16,3385.5217882569946,3287.3870154362735,5527.34520748741,142.99735993082558,140.60249999222174,165.68520328449978,0.43412326079460656,0.4152849013916209,0.6903058853369954,831.7356638354943,806.6772218353963,1390.9438531442445,179681.87998668788,193534.9474640767,277752.9190594627,5544.971255915822,4840.768900021087,11074.97158461923,1048.9018166332219,1072.9169577112443,1711.229277814568
6.1896581889126216e+16,3398.3176512501686,3299.609906678613,5554.130757676991,152.73597642068052,150.26810999453264,175.16312950718816,0.43135427695101214,0.41262226769809573,0.6856672982323134,830.3064766163692,805.2721708417067,1389.1384571256995,163429.65461489063,175566.19948976123,252943.6566027849,5544.674510634102,4840.509408582995,11074.557311529432,1048.8695209842565,1072.8844097634974,1711.1935198849596
6.812920690579593e+16,3414.180725491071,3314.7958894998737,5586.456829974858,163.24822866716462,160.70211034651564,185.3734253833259,0.42816005723969025,0.4095510326112936,0.680337902384287,828.7635486481347,803.7557825993861,1387.1837446725435,148687.67523179547,159248.62446156942,230458.61932070737,5544.342273639397,4840.218876998874,11074.093465484335,1048.8333721208749,1072.8479784055894,1711.1534957588203
7.498942093324557e+16,3433.7498714644958,3333.564467954284,5625.411344917189,174.5532471272045,171.92358191105444,196.32969689213496,0.4244808537802256,0.40601378196539734,0.6742241088559677,827.101829918907,802.1231956538907,1385.0719429725352,135321.16202044557,144439.04269359395,210089.22535642394,5543.96990780838,4839.893248745391,11073.57356403626,1048.7928689896162,1072.8071586366032,1711.1086507821337
8.254041852680206e+16,3457.7801530632773,3356.647938288888,5672.275821442516,186.65732096418628,183.93885360675608,208.03248019876818,0.42025228822710625,0.4019486380511913,0.6672258292823439,825.316989500896,800.3702651220974,1382.7959891397766,123207.96931191787,131008.72107665335,191645.897557614,5543.552133228249,4839.52790472656,11072.990223707504,1048.7474415770773,1072.7613759421743,1711.0583538281044
9.085175756516842e+16,3487.158914812901,3384.90698197373,5728.552173328035,199.54989188398514,196.7375165755018,220.46545058901455,0.41540667389975566,0.3972905228382113,0.6592387612836623,823.4056608864436,798.4938021933443,1380.3498401461882,112237.38878674092,118841.89012582453,174956.25108263223,5543.082949098091,4839.117594833137,11072.335051663053,1048.6964429432687,1072.7099782696969,1711.0018887351312
9.999999999999998e+16,3522.9224484860583,3419.346822094741,5795.990651464894,213.19924456845908,210.288134312084,233.591416027636,0.4098750936448139,0.39197314535656236,0.6501578631379478,821.3656939317851,796.4918192612997,1377.7288006218603,102308.95819650289,107834.16407670139,159863.32953070098,5542.555544103061,4838.656359387865,11071.598518301402,1048.6391397255788,1072.6522264482135,1710.9384435987852
