Strain Condition,Temperature ,Direction,ZTMAX,doping concentraion,electrivity,seebeck,electrical thermal conductivity,lattice thermal conductivity
Relaxed,300,XX,0.855,6.81E+18,95500,235.25,0.545,1.31
Relaxed,300,YY,0.8251,6.81E+18,9.36E+04,231.55,0.514,1.31
Relaxed,300,ZZ,0.6123,8.25E+18,1.94E+05,221.04,1.102,3.53
Relaxed,400,XX,1.3844,7.50E+18,7.85E+04,260.6,0.561,0.98
Relaxed,400,YY,1.3226,7.50E+18,7.59E+04,255.43,0.517,0.98
Relaxed,400,ZZ,1.0145,9.09E+18,1.60E+05,245.45,1.136,2.66
Relaxed,500,XX,1.8252,1.00E+19,7.97E+04,261.62,0.704,0.79
Relaxed,500,YY,1.729,1.00E+19,7.59E+04,255.55,0.643,0.79
Relaxed,500,ZZ,1.3898,1.10E+19,1.49E+05,254.68,1.328,2.14
Relaxed,600,XX,2.022,1.47E+19,8.99E+04,249.14,0.995,0.66
Relaxed,600,YY,1.9013,1.47E+19,8.44E+04,249.14,0.995,0.66
Relaxed,600,ZZ,1.6355,1.47E+19,1.54E+05,251.76,1.798,1.78
Relaxed,700,XX,1.977,2.37E+19,1.10E+05,227.57,1.456,0.57
Relaxed,700,YY,1.8432,2.37E+19,1.02E+05,221.54,1.339,0.57
Relaxed,700,ZZ,1.708,2.15E+19,1.75E+05,239.93,2.611,1.53
Relaxed,800,XX,1.8138,3.48E+19,1.25E+05,212.22,1.977,0.5
Relaxed,800,YY,1.6798,3.48E+19,1.14E+05,206.89,1.833,0.5
Relaxed,800,ZZ,1.6778,3.16E+19,2.01E+05,228.16,3.654,1.34
Relaxed,900,XX,1.6184,5.11E+19,1.40E+05,197.47,2.604,0.44
Relaxed,900,YY,1.4942,5.11E+19,1.28E+05,193.13,2.431,0.44
Relaxed,900,ZZ,1.6124,4.64E+19,2.31E+05,217.15,4.896,1.19
Relaxed,1000,XX,1.4276,7.50E+19,1.57E+05,183.89,3.329,0.4
Relaxed,1000,YY,1.3225,6.81E+19,1.34E+05,185.22,3.064,0.4
Relaxed,1000,ZZ,1.5439,6.81E+19,2.66E+05,206.92,6.3,1.08
2% Tensile,300,XX,1.793,3.98E+18,1.13E+05,284.85,0.58,0.95
2% Tensile,300,YY,1.6913,3.98E+18,1.06E+05,279.48,0.517,0.95
2% Tensile,300,ZZ,1.1436,6.31E+18,2.99E+05,255.17,1.596,3.52
2% Tensile,400,XX,2.5902,5.01E+18,1.01E+05,296.95,0.67,0.71
2% Tensile,400,YY,2.4294,5.01E+18,9.34E+04,290.13,0.585,0.71
2% Tensile,400,ZZ,1.7696,7.08E+18,2.50E+05,275.2,1.636,2.65
2% Tensile,500,XX,2.8839,8.91E+18,1.30E+05,272.11,1.095,0.57
2% Tensile,500,YY,2.701,8.91E+18,1.17E+05,264.47,0.949,0.57
2% Tensile,500,ZZ,2.2177,1.00E+19,2.64E+05,268.57,2.176,2.12
2% Tensile,600,XX,2.6908,1.58E+19,1.68E+05,242.48,1.725,0.48
2% Tensile,600,YY,2.5042,1.58E+19,1.50E+05,234.69,1.494,0.48
2% Tensile,600,ZZ,2.307,1.58E+19,3.13E+05,248.44,3.245,1.78
2% Tensile,700,XX,2.1918,2.82E+19,2.18E+05,210.1,2.661,0.41
2% Tensile,700,YY,2.0171,2.82E+19,1.90E+05,202.82,2.301,0.41
2% Tensile,700,ZZ,2.0373,2.51E+19,3.70E+05,224.83,4.905,1.52
2% Tensile,800,XX,1.8391,4.47E+19,2.52E+05,187.99,3.512,0.36
2% Tensile,800,YY,1.6754,4.47E+19,2.17E+05,181.5,3.054,0.36
2% Tensile,800,ZZ,1.8192,3.98E+19,4.35E+05,204.73,6.684,1.33
2% Tensile,900,XX,1.5306,6.31E+19,2.65E+05,173.62,4.383,0.32
2% Tensile,900,YY,1.3882,6.31E+19,2.27E+05,168.01,3.827,0.32
2% Tensile,900,ZZ,1.6043,5.62E+19,4.66E+05,192.42,8.486,1.19
2% Tensile,1000,XX,1.2823,8.91E+19,2.79E+05,160.26,5.302,0.29
2% Tensile,1000,YY,1.1594,8.91E+19,2.37E+05,155.61,4.658,0.29
2% Tensile,1000,ZZ,1.4326,7.94E+19,5.00E+05,181.12,10.369,1.07
2% comp.,300,XX,0.7943,6.31E+18,8.48E+04,229.48,0.496,1.19
2% comp.,300,YY,0.7767,6.31E+18,8.41E+04,226.48,0.477,1.19
2% comp.,300,ZZ,0.5731,7.08E+18,1.62E+05,218.79,0.93,3.12
2% comp.,400,XX,1.2741,7.36E+18,7.39E+04,250.88,0.561,0.9
2% comp.,400,YY,1.2348,7.36E+18,7.25E+04,246.48,0.527,0.9
2% comp.,400,ZZ,0.9557,8.58E+18,1.45E+05,237.26,1.065,2.35
2% comp.,500,XX,1.6232,1.08E+19,8.29E+04,244.76,0.81,0.72
2% comp.,500,YY,1.5651,1.00E+19,7.50E+04,244.89,0.716,0.72
2% comp.,500,ZZ,1.3279,9.26E+18,1.22E+05,256.92,1.151,1.89
2% comp.,600,XX,1.7134,1.71E+19,1.01E+05,227.89,1.238,0.6
2% comp.,600,YY,1.6444,1.58E+19,9.05E+04,227.33,1.106,0.6
2% comp.,600,ZZ,1.6035,1.17E+19,1.24E+05,259.54,1.536,1.58
2% comp.,700,XX,1.5852,2.61E+19,1.20E+05,210.64,1.836,0.52
2% comp.,700,YY,1.5096,2.61E+19,1.13E+05,205.57,1.702,0.52
2% comp.,700,ZZ,1.7233,1.62E+19,1.41E+05,250.88,2.245,1.35
2% comp.,800,XX,1.4277,3.98E+19,1.40E+05,195.65,2.547,0.45
2% comp.,800,YY,1.3574,3.98E+19,1.31E+05,191.57,2.373,0.45
2% comp.,800,ZZ,1.7394,2.51E+19,1.72E+05,237.92,3.297,1.19
2% comp.,900,XX,1.273,5.84E+19,1.57E+05,183.92,3.353,0.4
2% comp.,900,YY,1.215,5.84E+19,1.46E+05,181.03,3.134,0.4
2% comp.,900,ZZ,1.7259,3.69E+19,2.02E+05,228.88,4.466,1.05
2% comp.,1000,XX,1.1438,8.58E+19,1.76E+05,173.41,4.261,0.36
2% comp.,1000,YY,1.1021,8.58E+19,1.62E+05,171.8,3.988,0.36
2% comp.,1000,ZZ,1.7013,5.01E+19,2.25E+05,223.1,5.646,0.95
