Strain Condition,Temperature ,Direction,ZTMAX,doping concentraion,electrivity,seebeck,electrical thermal conductivity,lattice thermal conductivity
1-relax,300,XX,1.8422,1.58E+019,157000,283.62,0.742,1.31
1-relax,300,YY,1.6782,1.78E+019,155000,271.95,0.737,1.31
1-relax,300,ZZ,1.6032,1.78E+019,347000,286.86,1.809,3.53
1-relax,400,XX,2.203,2.82E+019,193000,256.28,1.327,0.98
1-relax,400,YY,2.0456,2.82E+019,173000,255.18,1.222,0.98
1-relax,400,ZZ,2.1785,2.82E+019,406000,273.59,2.918,2.66
1-relax,500,XX,1.9856,5.62E+019,261000,219.19,2.364,0.79
1-relax,500,YY,1.8858,5.62E+019,234000,219.59,2.206,0.79
1-relax,500,ZZ,2.2895,4.47E+019,473000,256.18,4.643,2.14
1-relax,600,XX,1.6529,8.91E+019,294000,198.53,3.54,0.66
1-relax,600,YY,1.6086,8.91E+019,265000,200.35,3.314,0.66
1-relax,600,ZZ,2.1757,7.94E+019,612000,229.92,7.139,1.78
1-relax,700,XX,1.3728,1.41E+020,335000,178.74,4.891,0.57
1-relax,700,YY,1.3723,1.41E+020,306000,181.74,4.581,0.57
1-relax,700,ZZ,2.0115,1.12E+020,666000,218.3,9.409,1.53
1-relax,800,XX,1.1659,2E+020,357000,165.85,6.24,0.5
1-relax,800,YY,1.1962,2E+020,328000,169.6,5.815,0.5
1-relax,800,ZZ,1.8558,1.58E+020,736000,203.54,11.8,1.34
1-relax,900,XX,1.0167,2.82E+020,386000,153.49,7.609,0.44
1-relax,900,YY,1.0677,2.82E+020,358000,157.55,7.048,0.44
1-relax,900,ZZ,1.7215,2.24E+020,823000,189.13,14.196,1.19
1-relax,1000,XX,0.8981,3.31E+020,374000,149.13,8.852,0.4
1-relax,1000,YY,0.9594,3.31E+020,348000,153.24,8.116,0.4
1-relax,1000,ZZ,1.5874,2.51E+020,783000,185.95,15.984,1.08
2-0.2%,300,XX,2.0879,1.58E+019,165000,280.93,0.801,1.07
2-0.2%,300,YY,1.9089,1.58E+019,147000,278.83,0.72,1.07
2-0.2%,300,ZZ,1.7952,1.58E+019,327000,293.57,1.723,2.98
2-0.2%,400,XX,2.2784,3.16E+019,225000,244.21,1.551,0.8
2-0.2%,400,YY,2.1326,3.16E+019,200000,243.09,1.414,0.8
2-0.2%,400,ZZ,2.2949,2.82E+019,421000,270.29,3.122,2.24
2-0.2%,500,XX,1.9367,5.62E+019,275000,214.85,2.631,0.65
2-0.2%,500,YY,1.8473,5.62E+019,246000,214.85,2.421,0.65
2-0.2%,500,ZZ,2.2883,5.01E+019,540000,244.72,5.266,1.8
2-0.2%,600,XX,1.5627,1E+020,338000,187.21,4.006,0.54
2-0.2%,600,YY,1.5213,1E+020,304000,188.38,3.71,0.54
2-0.2%,600,ZZ,2.1128,7.94E+019,635000,226.17,7.717,1.5
2-0.2%,700,XX,1.2769,1.41E+020,352000,174.13,5.397,0.46
2-0.2%,700,YY,1.2709,1.41E+020,318000,176.2,4.985,0.46
2-0.2%,700,ZZ,1.9247,1.26E+020,754000,207.17,10.485,1.29
2-0.2%,800,XX,1.0752,2.24E+020,405000,156.09,6.93,0.41
2-0.2%,800,YY,1.0951,2.24E+020,369000,158.86,6.392,0.41
2-0.2%,800,ZZ,1.767,1.78E+020,830000,194.15,13.028,1.13
2-0.2%,900,XX,0.9349,2.82E+020,402000,149.45,8.295,0.36
2-0.2%,900,YY,0.9704,2.82E+020,369000,152.51,7.59,0.36
2-0.2%,900,ZZ,1.634,2.24E+020,847000,186.45,15.204,1.01
2-0.2%,1000,XX,0.8327,3.98E+020,437000,138.23,9.718,0.32
2-0.2%,1000,YY,0.8777,3.98E+020,403000,141.19,8.839,0.32
2-0.2%,1000,ZZ,1.5193,2.82E+020,875000,177.87,17.308,0.91
3-2% compression,300,XX,2.0152,1.58E+019,133000,302.92,0.633,1.19
3-2% compression,300,YY,1.8143,2E+019,145000,282.01,0.716,1.19
3-2% compression,300,ZZ,1.9243,2E+019,354000,302.04,1.913,3.12
